Berapa kelompok usia Anda?,Apa jenis kelamin Anda?,Apa pekerjaan Anda?,Produk apa yang paling sering Anda beli secara online? ,Seberapa sering Anda berbelanja online atau daring dalam sebulan?,Berapa rata-rata pengeluaran Anda setiap kali berbelanja online? ,Apa yang biasanya mendorong Anda untuk berbelanja di e-commerce? ,Faktor apa yang paling memengaruhi keputusan Anda dalam membeli produk? ,Apakah Anda cenderung membeli jenis produk yang sama secara berulang?,Aplikasi/situs belanja apa yang sering Anda gunakan?,Berapa lama rata-rata waktu yang Anda habiskan saat dalam satu sesi belanja online?,Kapan terakhir kali Anda melakukan pembelian online?,Apakah Anda sering berbelanja di toko atau merek yang sama?
> 30 Tahun,Perempuan,Wirausaha,Fashion,1 - 2 kali,Rp. 200.000 - Rp. 500.000,Adanya Diskon Besar / Flash Sale,Harga / Diskon,Kadang-kadang,Shopee,< 5 menit,Kadang-kadang,Kadang-kadang
24 - 30 Tahun,Laki-laki,Pekerja Swasta ,Elektronik,3 - 5 kali,Rp. 100.000 - Rp. 200.000,Adanya Diskon Besar / Flash Sale,Reputasi atau kredibilitas toko,Selalu,Tiktok shop,5 - 10 menit,Kadang-kadang,Sering
> 30 Tahun,Laki-laki,Pensiunan ,Fashion,1 - 2 kali,Rp. 100.000 - Rp. 200.000,Adanya Diskon Besar / Flash Sale,Reputasi atau kredibilitas toko,Kadang-kadang,Lazada,5 - 10 menit,Kadang-kadang,Kadang-kadang
24 - 30 Tahun,Laki-laki,Pegawai Negeri Sipil atau Swasta,Elektronik,1 - 2 kali,Rp. 100.000 - Rp. 200.000,Kebutuhan Rutin,Ulasan dari pelanggan,Tidak Pernah,Tokopedia,10 - 30 menit,Kadang-kadang,Kadang-kadang
24 - 30 Tahun,Laki-laki,Pegawai Negeri Sipil atau Swasta,Makanan & Minuman,3 - 5 kali,Rp. 200.000 - Rp. 500.000,Adanya Diskon Besar / Flash Sale,Ulasan dari pelanggan,Kadang-kadang,Shopee,10 - 30 menit,Kadang-kadang,Sering
24 - 30 Tahun,Laki-laki,ngedj,Fashion,1 - 2 kali,Rp. 200.000 - Rp. 500.000,Adanya Diskon Besar / Flash Sale,Ulasan dari pelanggan,Kadang-kadang,Shopee,5 - 10 menit,Kadang-kadang,Jarang
24 - 30 Tahun,Perempuan,Wirausaha,Fashion,Lebih dari 10 kali,Rp. 500.000 - Rp. 1.000.000,Mengikuti Trend,Ulasan dari pelanggan,Kadang-kadang,Shopee,10 - 30 menit,Sering,Kadang-kadang
> 30 Tahun,Perempuan,Karyawan swasta,Fashion,1 - 2 kali,< Rp. 100.000,Adanya Diskon Besar / Flash Sale,Harga / Diskon,Jarang,Tokopedia,5 - 10 menit,Jarang,Kadang-kadang
> 30 Tahun,Laki-laki,Wirausaha,Produk Kesehatan & Kecantikan,1 - 2 kali,Rp. 100.000 - Rp. 200.000,Adanya Diskon Besar / Flash Sale,Harga / Diskon,Kadang-kadang,Shopee,10 - 30 menit,Kadang-kadang,Sering
24 - 30 Tahun,Perempuan,Pegawai Negeri Sipil atau Swasta,Makanan & Minuman,3 - 5 kali,Rp. 200.000 - Rp. 500.000,Kebutuhan Khusus / Mendesak,Harga / Diskon,Kadang-kadang,Tokopedia,> 1 jam,Kadang-kadang,Kadang-kadang
> 30 Tahun,Laki-laki,Pegawai Negeri Sipil atau Swasta,Kebutuhan pokok,1 - 2 kali,< Rp. 100.000,Kebutuhan Khusus / Mendesak,Ulasan dari pelanggan,Jarang,Shopee,5 - 10 menit,Kadang-kadang,Kadang-kadang
